web-scraper-order,web-scraper-start-url,extractAddress
"1641160370-50","https://www.carvana.com/carvanalocations","Philadelphia, PA 19123"
"1641160370-100","https://www.carvana.com/carvanalocations","Austin, TX 78745"
"1641160370-88","https://www.carvana.com/carvanalocations","Danvers, MA 01923"
"1641160370-58","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-153","https://www.carvana.com/carvanalocations","Eagan, MN 55121"
"1641160370-16","https://www.carvana.com/carvanalocations","Columbia, SC 29210"
"1641160370-45","https://www.carvana.com/carvanalocations","Jeffersontown, KY 40299"
"1641160370-143","https://www.carvana.com/carvanalocations","Ontario, CA 91761"
"1641160370-104","https://www.carvana.com/carvanalocations","Grand Rapids, MI 49508"
"1641160370-139","https://www.carvana.com/carvanalocations","Greensboro, NC 27407-2668"
"1641160370-28","https://www.carvana.com/carvanalocations","Jacksonville, FL 32216"
"1641160370-83","https://www.carvana.com/carvanalocations","Rochester, NY 14609"
"1641160370-30","https://www.carvana.com/carvanalocations","Tucson, AZ 85713"
"1641160370-46","https://www.carvana.com/carvanalocations","Danvers, MA 01923"
"1641160370-2","https://www.carvana.com/carvanalocations","Birmingham, AL 35233"
"1641160370-135","https://www.carvana.com/carvanalocations","Greenville, SC 29607"
"1641160370-95","https://www.carvana.com/carvanalocations","Savannah, GA 31415"
"1641160370-132","https://www.carvana.com/carvanalocations","Tampa, FL 33619"
"1641160370-89","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-133","https://www.carvana.com/carvanalocations","Greenville, SC 29607"
"1641160370-107","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-78","https://www.carvana.com/carvanalocations","Indianapolis, IN 46250"
"1641160370-105","https://www.carvana.com/carvanalocations","Grand Rapids, MI 49508"
"1641160370-61","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-49","https://www.carvana.com/carvanalocations","Westport, CT 06880"
"1641160370-137","https://www.carvana.com/carvanalocations","Conway, SC 29526"
"1641160370-112","https://www.carvana.com/carvanalocations","San Jose, CA 95112"
"1641160370-111","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-27","https://www.carvana.com/carvanalocations","Las Vegas, NV 89102"
"1641160370-55","https://www.carvana.com/carvanalocations","Inwood, NY 11096"
"1641160370-44","https://www.carvana.com/carvanalocations","Tampa, FL 33619"
"1641160370-7","https://www.carvana.com/carvanalocations","Columbus, OH 43228"
"1641160370-141","https://www.carvana.com/carvanalocations","Westminster, CA 92683-3534"
